doi,label,title,abstract
10.1111/j.1468-0017.2006.00297.x,1,A Dissociation Between Moral Judgments and Justifications,"Abstract: To what extent do moral judgments depend on conscious reasoning from explicitly understood principles? We address this question by investigating one particular moral principle, the principle of the double effect. Using web‐based technology, we collected a large data set on individuals’ responses to a series of moral dilemmas, asking when harm to innocent others is permissible. Each moral dilemma presented a choice between action and inaction, both resulting in lives saved and lives lost. Results showed that: (1) patterns of moral judgments were consistent with the principle of double effect and showed little variation across differences in gender, age, educational level, ethnicity, religion or national affiliation (within the limited range of our sample population) and (2) a majority of subjects failed to provide justifications that could account for their judgments. These results indicate that the principle of the double effect may be operative in our moral judgments but not open to conscious introspection. We discuss these results in light of current psychological theories of moral cognition, emphasizing the need to consider the unconscious appraisal system that mentally represents the causal and intentional properties of human action."
10.1177/0956797611434537,0,The Local-Ladder Effect,"Dozens of studies in different nations have revealed that socioeconomic status only weakly predicts an individual's subjective well-being (SWB). These results imply that although the pursuit of social status is a fundamental human motivation, achieving high status has little impact on one's SWB. However, we propose that sociometric status-the respect and admiration one has in face-to-face groups (e.g., among friends or coworkers)-has a stronger effect on SWB than does socioeconomic status. Using correlational, experimental, and longitudinal methodologies, four studies found consistent evidence for a local-ladder effect: Sociometric status significantly predicted satisfaction with life and the experience of positive and negative emotions. Longitudinally, as sociometric status rose or fell, SWB rose or fell accordingly. Furthermore, these effects were driven by feelings of power and social acceptance. Overall, individuals' sociometric status matters more to their SWB than does their socioeconomic status."
10.1037/0022-3514.95.2.293,1,Why people are reluctant to tempt fate.,"The present research explored the belief that it is bad luck to ""tempt fate."" Studies 1 and 2 demonstrated that people do indeed have the intuition that actions that tempt fate increase the likelihood of negative outcomes. Studies 3-6 examined our claim that the intuition is due, in large part, to the combination of the automatic tendencies to attend to negative prospects and to use accessibility as a cue when judging likelihood. Study 3 demonstrated that negative outcomes are more accessible following actions that tempt fate than following actions that do not tempt fate. Studies 4 and 5 demonstrated that the heightened accessibility of negative outcomes mediates the elevated perceptions of likelihood. Finally, Study 6 examined the automatic nature of the underlying processes. The types of actions that are thought to tempt fate as well as the role of society and culture in shaping this magical belief are discussed."
10.1177/0956797609359908,0,What Counts as a Choice?,"People everywhere select among multiple alternatives, but are they always making choices? In five studies, we found that people in U.S. American contexts, where the disjoint model of agency is prevalent, are more likely than those in Indian contexts to construe their own and other individuals' behaviors as choices, to construe ongoing behaviors and behaviors recalled from memory as choices, to construe naturally occurring and experimentally controlled behaviors as choices, to construe mundane and important actions as choices, and to construe personal and interpersonal actions as choices. Indians showed a greater tendency to construe actions as choices when these actions involved responding to other people than when they did not. These findings show that whether people construe actions as choices is significantly shaped by sociocultural systems of meanings and practices. Together, they suggest that the positive consequences associated with maximizing the availability of personal choice may not be universal and instead may be limited to North American contexts."
10.1207/s15516709cog2605_4,1,Cultural preferences for formal versus intuitive reasoning,"Abstract The authors examined cultural preferences for formal versus intuitive reasoning among East Asian (Chinese and Korean), Asian American, and European American university students. We investigated categorization (Studies 1 and 2), conceptual structure (Study 3), and deductive reasoning (Studies 3 and 4). In each study a cognitive conflict was activated between formal and intuitive strategies of reasoning. European Americans, more than Chinese and Koreans, set aside intuition in favor of formal reasoning. Conversely, Chinese and Koreans relied on intuitive strategies more than European Americans. Asian Americans' reasoning was either identical to that of European Americans, or intermediate. Differences emerged against a background of similar reasoning tendencies across cultures in the absence of conflict between formal and intuitive strategies."
10.1002/(sici)1099-0771(199806)11:2<107::aid-bdm292>3.0.co;2-y,1,Less is better: when low-value options are valued more highly than high-value options,"This research demonstrates a less-is-better effect in three contexts: (1) a person giving a $45 scarf as a gift was perceived to be more generous than one giving a $55 coat; (2) an overfilled ice cream serving with 7 oz of ice cream was valued more than an underfilled serving with 8 oz of ice cream; (3) a dinnerware set with 24 intact pieces was judged more favourably than one with 31 intact pieces (including the same 24) plus a few broken ones. This less-is-better effect occurred only when the options were evaluated separately, and reversed itself when the options were juxtaposed. These results are explained in terms of the evaluability hypothesis, which states that separate evaluations of objects are often influenced by attributes which are easy to evaluate rather than by those which are important. © 1998 John Wiley & Sons, Ltd."
10.1037/a0013748,1,Moral typecasting: Divergent perceptions of moral agents and moral patients.,"Moral agency is the capacity to do right or wrong, whereas moral patiency is the capacity to be a target of right or wrong. Through 7 studies, the authors explored moral typecasting-an inverse relation between perceptions of moral agency and moral patiency. Across a range of targets and situations, good- and evil-doers (moral agents) were perceived to be less vulnerable to having good and evil done to them. The recipients of good and evil (moral patients), in turn, were perceived as less capable of performing good or evil actions. Moral typecasting stems from the dyadic nature of morality and explains curious effects such as people's willingness to inflict greater pain on those who do good than those who do nothing."
10.1126/science.1130726,0,Washing Away Your Sins: Threatened Morality and Physical Cleansing,"Physical cleansing has been a focal element in religious ceremonies for thousands of years. The prevalence of this practice suggests a psychological association between bodily purity and moral purity. In three studies, we explored what we call the ""Macbeth effect""-that is, a threat to one's moral purity induces the need to cleanse oneself. This effect revealed itself through an increased mental accessibility of cleansing-related concepts, a greater desire for cleansing products, and a greater likelihood of taking antiseptic wipes. Furthermore, we showed that physical cleansing alleviates the upsetting consequences of unethical behavior and reduces threats to one's moral self-image. Daily hygiene routines such as washing hands, as simple and benign as they might seem, can deliver a powerful antidote to threatened morality, enabling people to truly wash away their sins."
10.1111/1467-8284.00419,1,Intentional action and side effects in ordinary language,"There has been a long-standing dispute in the philosophical literature about the conditions under which a behavior counts as 'intentional.' Much of the debate turns on questions about the use of certain words and phrases in ordinary language. The present paper investigates these questions empirically, using experimental techniques to investigate people's use of the relevant words and phrases. g"
10.1111/j.1467-9280.2006.01824.x,0,Power and Perspectives Not Taken,"Four experiments and a correlational study explored the relationship between power and perspective taking. In Experiment 1, participants primed with high power were more likely than those primed with low power to draw an E on their forehead in a self-oriented direction, demonstrating less of an inclination to spontaneously adopt another person's visual perspective. In Experiments 2a and 2b, high-power participants were less likely than low-power participants to take into account that other people did not possess their privileged knowledge, a result suggesting that power leads individuals to anchor too heavily on their own vantage point, insufficiently adjusting to others' perspectives. In Experiment 3, high-power participants were less accurate than control participants in determining other people's emotion expressions; these results suggest a power-induced impediment to experiencing empathy. An additional study found a negative relationship between individual difference measures of power and perspective taking. Across these studies, power was associated with a reduced tendency to comprehend how other people see, think, and feel."
10.1111/j.1467-9280.2009.02426.x,0,Weight as an Embodiment of Importance,"Four studies show that the abstract concept of importance is grounded in bodily experiences of weight. Participants provided judgments of importance while they held either a heavy or a light clipboard. Holding a heavy clipboard increased judgments of monetary value (Study 1) and made participants consider fair decision-making procedures to be more important (Study 2). It also caused more elaborate thinking, as indicated by higher consistency between related judgments (Study 3) and by greater polarization of agreement ratings for strong versus weak arguments (Study 4). In line with an embodied perspective on cognition, these findings suggest that, much as weight makes people invest more physical effort in dealing with concrete objects, it also makes people invest more cognitive effort in dealing with abstract issues."
10.1027/1864-9335/a000147,0,"Warmer Hearts, Warmer Rooms","Conceptual representations of warmth have been shown to be related to people’s perceptions of ambient temperature. Based on this premise, we hypothesized that merely thinking about personality traits related to communion (but not agency) influences physical experience of warmth. Specifically, the three studies revealed that (a) perceptions of temperature are influenced by both positive and negative attributes within the communion but not agency dimension, (b) the effect is stronger when traits indicate sociability rather than morality subdimension of communion, and (c) communion activation affects temperature perceptions independently of target’s or self-perceptions."
10.1037/0022-3514.82.5.792,0,"It feels like yesterday: Self-esteem, valence of personal past experiences, and judgments of subjective distance.","Supporting predictions from temporal self-appraisal theory, participants in 3 studies reported feeling farther from former selves and experiences with unfavorable implications for their current self-view than from equally distant selves and experiences with flattering implications. This distancing bias occurred when assignment to negative and positive pasts was random, for both achievement and social outcomes and for single episodes as well as longer term experiences. Consistent with a motivational interpretation, the distancing bias was stronger among high than low self-esteem participants and occurred for personal but not for acquaintances' past events. Frequency of rehearsal and ease of recall of past episodes also predicted feelings of distance, but these variables did not account for the Self-Esteem x Valence interaction on subjective distancing of personal events."
10.1037/0022-3514.81.1.33,1,Moral credentials and the expression of prejudice.,"Three experiments supported the hypothesis that people are more willing to express attitudes that could be viewed as prejudiced when their past behavior has established their credentials as nonprejudiced persons. In Study 1, participants given the opportunity to disagree with blatantly sexist statements were later more willing to favor a man for a stereotypically male job. In Study 2, participants who first had the opportunity to select a member of a stereotyped group (a woman or an African American) for a category-neutral job were more likely to reject a member of that group for a job stereotypically suited for majority members. In Study 3, participants who had established credentials as nonprejudiced persons revealed a greater willingness to express a politically incorrect opinion even when the audience was unaware of their credentials. The general conditions under which people feel licensed to act on illicit motives are discussed."
10.1037/0022-3514.67.4.627,0,Role of consciousness and accessibility of death-related thoughts in mortality salience effects.,"On the basis of terror management theory, research has shown that subtle mortality salience inductions engender increased prejudice, nationalism, and intergroup bias. Study 1 replicated this effect (increased preference for a pro-U.S. author over an anti-U.S. author) and found weaker effects when Ss are led to think more deeply about mortality or about the death of a loved one. Study 2 showed that this effect is not produced by thoughts of non-death-related aversive events. Studies 2 and 3 demonstrated that this effect occurs only if Ss are distracted from mortality salience before assessment of its effects. Study 4 revealed that although the accessibility of death-related thoughts does not increase immediately after mortality salience, it does increase after Ss are distracted from mortality salience. These findings suggest that mortality salience effects are unique to thoughts of death and occur primarily when such thoughts are highly accessible but outside of consciousness."
10.1037/0022-3514.70.6.1142,1,Automatic and controlled processes in stereotype priming.,"The experiments in this article were conducted to observe the automatic activation of gender stereo- types and to assess theoretically specified conditions under which such stereotype priming may be moderated. Across 4 experiments, 3 patterns of data were observed: (a) evidence of stereotype prim- ing under baseline conditions of intention and high cognitive constraints, (b) significant reduction of stereotype priming when a counterstereotype intention was formed even though cognitive con- straints were high, and (c) complete reversal of stereotype priming when a counterstereotype inten- tion was formed and cognitive constraints were low. These data support proposals that stereotypes may be automatically activated as well as proposals that perceivers can control and even eliminate such effects. That perceiver intentions and cognitive resources may be im- portant factors in the activation and influence of stereotypes has important theoretical and practical implications. For theory, an examination of the controllability of stereotyping can inform one about the conditions under which perceivers can and will oppose an automatic process. Whether perceivers are able to control the influence of stereotypes on their response, in turn, has implications for a variety of situations in which stereotypes can have serious consequences. However, little research has ex- amined the role of perceiver intentions and cognitive con- straints in determining the operation of automatic and con- trolled processes in stereotyping with procedures established to reveal the interplay of these opposing processes. The purpose of this research was twofold: (a) to examine the automatic processes that may underlie stereotyping and (b) to examine the role of intention and cognitive resources in moder- ating the influence of such processes on response. The first goal of the research was to improve and extend initial demonstra- tions of the automaticity with which stereotypes may be primed, as revealed by a semantic priming procedure developed for such a purpose. A second, more important goal of the pres- ent research was to provide an assessment of the conditions un- der which automatic processes need not result in a stereotypic response. The priming procedures used in the present research readily permit observation of competing tendencies toward the automatic expression of stereotypes and the control that may be exerted against such expression. An examination of these opposing processes in action allows much to be learned about the conditions that facilitate and inhibit stereotyping. In light of the present research goals, it is useful to consider the stereotyping process in more detail and to determine where automatic and controlled processes might have an effect. Sev- eral models of stereotyping distinguish between stereotype acti- vation (categorization) and stereotype application as sequential steps in stereotyping (Brewer, 1988; Fiske & Neuberg, 1990; Gilbert & Hixon, 1991 ). That is, stereotypes cannot be used in judgment if those stereotypes have not been previously acti- vated by situational cues, such as the target's skin color or cloth- ing. Hence, stereotype activation is a necessary but not a suffi- cient step in stereotyping. For the stereotyping process to be"
10.1111/j.1467-9280.1996.tb00346.x,0,Automatic Stereotyping,"Two experiments tested a form of automatic stereo-typing Subjects saw primes related to gender (e g, mother, father, nurse, doctor) or neutral with respect to gender (e g, parent, student, person) followed by target pronouns (stimulus onset asynchronv = 300 ms) that were gender related (e g, she, he) or neutral (it, me) or followed by nonpronouns (do, all, Experiment 2 only) In Experiment 1, subjects judged whether each pronoun was male or female Automatic gender beliefs (stereotypes) were observed in faster responses to pronouns consistent than inconsistent with the gender component of the prime regardless of subjects' awareness of the prime-target relation, and independently of subjects explicit beliefs about gender stereotypes and language reform In Experiment 2, automatic stereotyping was obtained even though a gender-irrelevant judgment task (pronoun/not pronoun) was used Together, these experiments demonstrate that gender information imparted by words can automatically influence judgment, although the strength of such effects may be moderated by judgment task and prime type"
10.1111/j.1467-9280.2009.02326.x,0,Sinning Saints and Saintly Sinners,"The question of why people are motivated to act altruistically has been an important one for centuries, and across various disciplines. Drawing on previous research on moral regulation, we propose a framework suggesting that moral (or immoral) behavior can result from an internal balancing of moral self-worth and the cost inherent in altruistic behavior. In Experiment 1, participants were asked to write a self-relevant story containing words referring to either positive or negative traits. Participants who wrote a story referring to the positive traits donated one fifth as much as those who wrote a story referring to the negative traits. In Experiment 2, we showed that this effect was due specifically to a change in the self-concept. In Experiment 3, we replicated these findings and extended them to cooperative behavior in environmental decision making. We suggest that affirming a moral identity leads people to feel licensed to act immorally. However, when moral identity is threatened, moral behavior is a means to regain some lost self-worth."
10.1177/0956797610372631,0,Keep Your Fingers Crossed!,"Superstitions are typically seen as inconsequential creations of irrational minds. Nevertheless, many people rely on superstitious thoughts and practices in their daily routines in order to gain good luck. To date, little is known about the consequences and potential benefits of such superstitions. The present research closes this gap by demonstrating performance benefits of superstitions and identifying their underlying psychological mechanisms. Specifically, Experiments 1 through 4 show that activating good-luck-related superstitions via a common saying or action (e.g., ""break a leg,"" keeping one's fingers crossed) or a lucky charm improves subsequent performance in golfing, motor dexterity, memory, and anagram games. Furthermore, Experiments 3 and 4 demonstrate that these performance benefits are produced by changes in perceived self-efficacy. Activating a superstition boosts participants' confidence in mastering upcoming tasks, which in turn improves performance. Finally, Experiment 4 shows that increased task persistence constitutes one means by which self-efficacy, enhanced by superstition, improves performance."
10.1126/science.1162548,0,Experiencing Physical Warmth Promotes Interpersonal Warmth,"""Warmth"" is the most powerful personality trait in social judgment, and attachment theorists have stressed the importance of warm physical contact with caregivers during infancy for healthy relationships in adulthood. Intriguingly, recent research in humans points to the involvement of the insula in the processing of both physical temperature and interpersonal warmth (trust) information. Accordingly, we hypothesized that experiences of physical warmth (or coldness) would increase feelings of interpersonal warmth (or coldness), without the person's awareness of this influence. In study 1, participants who briefly held a cup of hot (versus iced) coffee judged a target person as having a ""warmer"" personality (generous, caring); in study 2, participants holding a hot (versus cold) therapeutic pad were more likely to choose a gift for a friend instead of for themselves."
10.1177/002224298204600109,0,The Effects of Music in Advertising on Choice Behavior: A Classical Conditioning Approach,"Do features like humor, sex, color, and music in a commercial merely increase our attention to product information in a message, or can they directly influence our attitudes? The results of an experiment using a classical conditioning approach suggest that hearing liked or disliked music while being exposed to a product can directly affect product preferences. A second experiment differentiated communication situations where a classical conditioning approach or an information processing approach might be appropriate in explaining product preference."
10.1037/0022-3514.82.6.956,0,Dealing with betrayal in close relationships: Does commitment promote forgiveness?,"This work complements existing research regarding the forgiveness process by highlighting the role of commitment in motivating forgiveness. On the basis of an interdependence-theoretic analysis, the authors suggest that (a) victims' self-oriented reactions to betrayal are antithetical to forgiveness, favoring impulses such as grudge and vengeance, and (b) forgiveness rests on prorelationship motivation, one cause of which is strong commitment. A priming experiment, a cross-sectional survey study, and an interaction record study revealed evidence of associations (or causal effects) of commitment with forgiveness. The commitment-forgiveness association appeared to rest on intent to persist rather than long-term orientation or psychological attachment. In addition, the commitment-forgiveness association was mediated by cognitive interpretations of betrayal incidents; evidence for mediation by emotional reactions was inconsistent."
10.1037/0022-3514.54.5.768,0,Inhibiting and facilitating conditions of the human smile: A nonobtrusive test of the facial feedback hypothesis.,"We investigated the hypothesis that people's facial activity influences their affective responses. Two studies were designed to both eliminate methodological problems of earlier experiments and clarify theoretical ambiguities. This was achieved by having subjects hold a pen in their mouth in ways that either inhibited or facilitated the muscles typically associated with smiling without requiring subjects to pose in a smiling face. Study 1's results demonstrated the effectiveness of the procedure. Subjects reported more intense humor responses when cartoons were presented under facilitating conditions than under inhibiting conditions that precluded labeling of the facial expression in emotion categories. Study 2 served to further validate the methodology and to answer additional theoretical questions. The results replicated Study 1's findings and also showed that facial feedback operates on the affective but not on the cognitive component of the humor response. Finally, the results suggested that both inhibitory and facilitatory mechanisms may have contributed to the observed affective responses."
10.1177/0956797610395393,0,Learning About What Others Were Doing,"Scientists have long been interested in understanding how language shapes the way people relate to others, yet it remains unclear how formal aspects of language influence person perception. We tested whether the attribution of intentionality to a person is influenced by whether the person's behaviors are described as what the person was doing or as what the person did (imperfective vs. perfective aspect). In three experiments, participants who read what a person was doing showed enhanced accessibility of intention-related concepts and attributed more intentionality to the person, compared with participants who read what the person did. This effect of the imperfective aspect was mediated by a more detailed set of imagined actions from which to infer the person's intentions and was found for both mundane and criminal behaviors. Understanding the possible intentions of others is fundamental to social interaction, and our findings show that verb aspect can profoundly influence this process."
