doi,replicated,discipline,year,what_manipulated,what_measured,experiment,design,manipulation,effect_structure,focus,clarity,rigor,transparency,N,ES,P
10.1002/jeab.705,1,Cognitive Psychology,2021,stimulus category (five categories identified as high preference vs. low preference for each unit) presented during a response force measurement task,response force exerted by units to manipulate visual clarity of each stimulus category,"Units first completed a verbal preference assessment for five visual stimulus categories. Subsequently, each category was presented individually in randomized order, and units used a force dynamometer to modulate visual clarity. Mean response force was measured for each stimulus category. The correlation between verbal preference rankings and actual response force for each category was examined.",within-subjects,observational,simple-association,single-hypothesis,clearly-operationalized,minimal,none,54.0,,1e-05
10.1002/job.2118,1,marketing/org behavior,2016,no explicit manipulation; this is instrument development and validation across three studies,"workplace intergenerational climate assessed via the WICS scale (five subscales: Intergenerational Contact, Retention, Positive Affect, Inclusiveness, Lack of Stereotypes)","In Study 1, an 18-item scale was developed via exploratory work. In Study 2, the instrument was refined and relationships with related constructs were tested via structural equation modeling. In Study 3, criterion, discriminant, and external validity were assessed in a diverse occupational sample. Subscale scores were correlated with workplace mentoring, attitudes about older workers, and job satisfaction.",observational or correlational,observational,simple-association,many-exploratory,clearly-operationalized,standard,none,81.0,,0.01490181
10.1002/pam.21702,1,Management,2013,expectations about service quality (low vs. high) and actual service performance (low vs. high) delivered via written statements and photographs in an online scenario,satisfaction judgment of the public service,"Units were randomly assigned to receive either low- or high-expectation statements and to view either low- or high-performance street cleanliness photographs. Satisfaction with the service was rated. A 2x2 between-subjects design tested the expectancy-disconfirmation theory prediction that satisfaction reflects the comparison between expectations and perceived performance, with moderation by age and political ideology.",between-subjects,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,controls-and-power-reported,none,908.0,0.33399999999999996,0.001
10.1002/per.1902,0,psychology,2013,no manipulation; personality traits (five-factor model) are measured predictor variables assessed at Time 1; body weight measures are outcomes tracked over ~4 years,"three body weight measures (body mass index, waist circumference, waist-to-hip ratio) at Time 1 and Time 2; changes in these measures across time","Units completed personality assessment (Mini-Markers) and body weight measurements at baseline. Body weight was reassessed approximately 4 years later in a follow-up. Cross-sectional associations between personality traits and body weight measures were tested via regression, controlling for age, gender, education, and chronic disease. Longitudinal associations between baseline personality and change in body weight over time were also examined, with moderation by gender.",longitudinal,observational,simple-association,many-exploratory,clearly-operationalized,standard,none,2664.0,0.001730157,0.03221527
10.1002/per.2062,0,psychology,2016,no manipulation; narcissism expression (measured via admiration and rivalry dimensions) is classified into categorical subgroups via latent class analysis,"latent class membership (subgroup assignment); associations of subgroup membership with personality traits (Machiavellianism, impulsivity) and adjustment indicators (self-esteem, empathy)",Units across multiple samples (German and US) completed self-report measures of narcissism (admiration and rivalry) and additional personality and adjustment measures. Latent class analysis identified distinct subgroups of narcissists based on their expression of agentic and antagonistic pathways. The four-class solution was evaluated across samples for consistency. Subgroups were then characterized by their associations with other personality traits and adjustment outcomes.,observational or correlational,observational,simple-association,many-exploratory,clearly-operationalized,standard,none,953.0,,0.05
10.1002/per.758,1,psychology,2010,"emotional valence of music (happy, angry, or control) during encoding and alexithymia level (measured individual difference: high vs. low)",recognition accuracy for emotion-related words (joy and anger words) in a later memory test,"Units listened to emotionally valenced musical priming (congruent, incongruent, or neutral relative to subsequent words) during the encoding of emotion-related words. Alexithymia was measured as an individual difference. A recognition memory test was later administered. Recognition rates were compared across combinations of music type and alexithymia level to test moderation and congruency effects.",mixed,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,107.0,0.052000000000000005,0.02628413
10.1002/per.803,1,psychology,2011,no explicit manipulation; optimism (measured baseline predictor) and perceived social support assessed from both recipients' and providers' perspective,perceived stress at 3-month follow-up; the mediation pathway through social support,"In a dyadic longitudinal design, couples (units and their partners) completed baseline assessments of optimism and social support (measured from both the recipient's and provider's perspective). Perceived stress was measured at 3-month follow-up. Actor-Partner Interdependence Models tested whether the prospective relationship between baseline optimism and follow-up stress was mediated by perceived social support, comparing mediation via recipient-perceived versus provider-perceived support.",longitudinal,observational,mediation-or-moderation,single-hypothesis,clearly-operationalized,standard,none,85.0,-0.25,0.001
10.1002/smj.2585,1,Management,2016,"firm's rating of informal competition as a threat (measured predictor); moderation examined via competitive context (level of formal competition) and institutional context (regulatory environment, availability of corruption as alternative)",new product development (NPD) activities undertaken by formal firms (binary or frequency outcome),"Firms across Eastern Europe and Central Asia reported the degree of competition from informal (unregistered) firms and their engagement in NPD activities. Institutional and competitive context variables (formal competition, corruption options, regulatory optimism) were also measured. The direct effect of informal competition on NPD was tested via logistic or count regression, with interaction terms examining moderation by context factors.",observational or correlational,observational,interaction,single-hypothesis,partially-specified,standard,none,9522.0,0.175,0.01
10.1002/soej.12223,0,Economics,2017,framing of the allocation task (giving frame: allocate a pool to the other unit vs. taking frame: take from a pool) and gender (male vs. female dictators),amount allocated in the dictator game,"Units participated in a dictator game with fixed payoff possibilities. The task was framed either as giving or taking. Dictators were balanced across male and female. Allocations were compared across frame and gender, with analysis of gender-by-frame interactions.",between-subjects,randomized-experiment,interaction,single-hypothesis,clearly-operationalized,standard,none,70.0,-0.031,0.039
10.1007/s10683-011-9281-9,1,economics,2011,no manipulation; observational study of small-group cooperation in a two-level commons dilemma involving both investment decisions and extraction decisions; communication is observed or manipulated as a treatment in some conditions,investment in provision of infrastructure and extraction from the common-pool resource; aggregate cooperation and coordination,Units in small groups made sequential decisions about infrastructure investment and resource extraction in an abstract commons dilemma modeled on irrigation systems. The impact of inherent asymmetry in the dilemma structure and the effect of communication on group-level coordination and cooperation were examined. Analysis focused on provision and extraction patterns and their relationship to asymmetry and communication.,observational or correlational,observational,simple-association,many-exploratory,partially-specified,minimal,none,270.0,3.836,0.01
10.1007/s10683-011-9295-3,1,economics,2012,"effort-based payoff difference between decision-maker and recipient, in a distribution scenario","choice of justice principle (egalitarian, accountability, libertarian) to justify distribution",Units play a game where they exert effort that is differentially rewarded and determines surplus size. Units then make distribution choices over the surplus while eliciting preference for three justice principles. The key comparison is whether the justice principle chosen matches financial self-interest when the unit is paid more versus less than the recipient. Analysis examines correlation between payment status and principle selection.,between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,24.0,0.7209091,0.00255072
10.1007/s11098-010-9651-8,1,Experimental Philosophy,2010,theoretical definition of weakness of will (akrasia versus ordinary notion),lay judgments of whether scenarios exemplify weakness of will,Units evaluate scenarios and judge whether described behaviors constitute weakness of will. Multiple experimental conditions present situations with varying motivational structures. Judgments are analyzed to identify which factors influence classification. Responses are examined to test whether lay concept matches philosophical akrasia definition or follows different dimensions.,between-subjects,observational,simple-association,single-hypothesis,partially-specified,minimal,none,117.0,,0.045
10.1007/s11145-010-9282-7,1,Cognitive Psychology,2010,frequency characteristic of word immediately before target word (high versus low frequency),preview benefit (accuracy/speed gain for pre-viewed target word in reading),"Units read Chinese text while eye movements are tracked. Target word visibility is manipulated using a gaze-contingent display that pauses preview when eyes approach the target. Two conditions vary the frequency of the immediately preceding word. Eye movement measurements (gaze duration, fixation patterns) are compared between preview and no-preview conditions to assess benefit magnitude.",within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,36.0,17.0,0.05
10.1007/s13524-011-0026-3,0,sociology,2011,HIV prevalence in geographic regions (naturally occurring variation),"non-AIDS health services usage (antenatal care, birth deliveries, child immunization)",Multiple waves of demographic surveys across 14 countries spanning 1988-2005 are analyzed. Regions are stratified by observed HIV prevalence from most recent survey. Health service indicators are compared across region-wave combinations. Analysis examines temporal trends and whether divergence in service use coincides with HIV diffusion patterns. Semiparametric dating techniques identify inflection points.,longitudinal,observational,simple-association,single-hypothesis,clearly-operationalized,standard,none,119.0,,
10.1007/s13524-018-0725-0,0,sociology,2018,"partnership formation and dissolution (transition between partnership states), with comparison of opposite-sex versus same-sex partnerships",subjective well-being rating,"Panel data tracks units over time across multiple partnership transitions (staying unpartnered, cohabiting, married). Within-unit changes in self-reported well-being are compared between transition types and partnership types. Analysis estimates causal effects by comparing well-being before and after partnership changes. Subgroup analyses stratify by cohort, gender, and sexual orientation.",longitudinal,observational,main-effect,few-confirmatory,clearly-operationalized,controls-and-power-reported,none,3617.0,,0.004
10.1016/0022-1031(91)90011-t,1,Psychology,1991,"action type (omission versus commission) while holding intent, motive, and outcome constant; consequences (beneficial versus harmful)",moral judgment (immorality rating) and decision evaluation (goodness rating),"Units read paired scenarios describing identical outcomes with identical intentions but one framed as omission and one as commission. Units rate either the actor's morality or option quality. Ratings are compared between action types. Additional experiments manipulate factors ordinarily distinguishing omissions and commissions (physical movement, salient alternative causes, counterfactual presence). Ratings of physical movement and causal reasoning are analyzed as potential mediators.",within-subjects,observational,interaction,few-confirmatory,clearly-operationalized,standard,none,57.0,,0.001
10.1016/j.jcps.2010.06.007,0,Marketing,2010,number of product units displayed on packaging (high count versus low count),perceived product quantity and actual consumption volume,"Three separate studies present units with snack packages varying in unit count displayed. In Study 1-2, units estimate package quantity; consumption is measured. Study 3 varies visual processing depth. For each unit, estimated quantity and actual consumption are recorded. Analysis tests whether high unit counts anchor estimates upward and whether consumption follows estimated rather than actual quantity. Moderation by visual processing is examined.",between-subjects,randomized-experiment,interaction,few-confirmatory,clearly-operationalized,standard,none,37.0,,0.05
10.1016/j.learninstruc.2018.05.004,1,Education,2018,reading intervention type (adaptive computer-delivered component versus non-adaptive; both versus control) among at-risk units,reading fluency and spelling accuracy,Schools are randomly assigned to two intervention conditions or control. First-grade units are screened; at-risk units (n=140) in intervention schools receive comprehensive teacher-led instruction with or without adaptive computer learning. At-risk and control units receive standard instruction. Reading and spelling are measured post-intervention. Between-group differences are tested. Within-intervention comparison assesses whether adaptivity enhances gains.,between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,controls-and-power-reported,none,744.0,0.61,0.002
10.1016/j.nlm.2017.09.009,0,Marketing,2017,"pairing of auditory tones (CS+ paired with participant's own name, CS- paired with different name, standard unpaired tone) in a conditioning paradigm",brain event-related potential (P3 amplitude and timing) and subjective recognition of name pairings,Four experiments present units with three tone types in an oddball paradigm. Tones are paired with names (own versus different) with varying pairing frequency and timing. Brain potentials are recorded via EEG throughout. Analysis compares P3 response magnitude and latency across tone types and experiments. Experiment 2 uses masked presentation to test non-conscious effects. Recognition accuracy is probed post-task.,within-subjects,randomized-experiment,main-effect,few-confirmatory,partially-specified,standard,none,25.0,0.215,0.022000000000000002
10.1016/j.obhdp.2013.10.003,0,marketing/org behavior,2014,information modality available for performance judgment (silent video only versus audio only versus both audio and video),accuracy of group-performance ranking (correctly identifying competition winners or orchestra rankings),"Six studies present units (experts and novices) with brief recordings of ensemble performances in different modalities. Units rank or select the top-performing group. Accuracy is measured against ground-truth rankings from actual competitions. Across studies, videos are either silent or accompanied by audio. Analysis compares accuracy rates across modality conditions. Visual cue importance is inferred from accuracy patterns.",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,41.0,0.6684237,0.0001133562
10.1016/j.worlddev.2016.03.006,0,economics,2016,perceived government impartiality toward ethnic groups (naturally occurring variation across countries),sustained economic growth (GDP per capita growth >= 2% for 5+ consecutive years),Survey data from 20 sub-Saharan African countries (Afrobarometer) spanning late 1990s onward are merged with growth data. Units (country-regions) are classified by growth status (sustained versus non-sustained). Perceived government impartiality from survey responses is assessed. Association between impartiality perception and growth emergence is tested controlling for policy content and other confounders. Analysis examines whether perception predicts growth independent of actual policy.,observational or correlational,observational,simple-association,single-hypothesis,partially-specified,standard,none,62.0,,0.05011041
10.1016/s0272-6963(97)00033-8,1,Management,1998,manufacturing strategy adoption model (rigid-flexibility model versus trade-off versus cumulative approaches),manufacturing performance and responsiveness to market requirements,"Cross-sectional database of approximately 800 manufacturing plants across five European countries is analyzed. Plant-level characteristics (process simplicity, procedural discipline, flexibility measures) are measured. Performance outcomes (responsiveness, efficiency) are assessed. Plants are classified by strategy adoption pattern. Performance differences across strategy types are examined. Country-level variation in adoption is documented.",observational or correlational,observational,simple-association,single-hypothesis,partially-specified,minimal,none,213.0,0.2295,0.01765
10.1017/bec.2013.16,1,Cognitive Psychology,2013,repeated interaction with stimulus (repeated checking versus repeated use versus control); stimulus type (experimental stove/light versus control light/stove),"memory accuracy, confidence, vividness, and detail; state anxiety","Units repeatedly interact with a virtual stimulus by either checking it or using it (or neither for controls). Multiple pre-, mid-, and post-interaction assessments measure memory accuracy and subjective confidence/vividness/detail. State anxiety is rated across time points. Between-group comparisons test whether checking and use produce equivalent memory degradation. Persistence of effects after delay is examined.",between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,controls-and-power-reported,none,113.0,0.39,0.3605
10.1017/epi.2013.23,1,Experimental Philosophy,2013,valence of target action (negative/harmful/blameworthy versus positive/neutral) in Gettier-case scenarios,knowledge attribution judgment (does the protagonist know the proposition or not),Units read Gettier-case vignettes where the protagonist performs an action that is either negatively or neutrally valenced. The epistemic structure is held constant across valence conditions. Units judge whether the protagonist possesses knowledge. Knowledge attribution rates are compared across valence conditions. Analysis tests whether action valence influences folk knowledge attribution independent of standard Gettier-case structure.,between-subjects,observational,main-effect,single-hypothesis,clearly-operationalized,standard,none,376.0,0.25,0.05
10.1017/s0003055410000262,0,political science,2010,political polarization measured as dispersion of self-reported political preferences; government regime type (democratic versus undemocratic),size of government (public spending as proportion of GDP),"Cross-national data from multiple countries are assembled. Political preference distributions within each country are computed from survey data to operationalize polarization. Government size is measured. Association between polarization and spending is tested. Separate analyses stratify by regime type (democratic versus undemocratic). Robustness is checked with controls for GDP per capita, inequality, and other variables.",observational or correlational,observational,interaction,single-hypothesis,clearly-operationalized,controls-and-power-reported,none,33.0,-19.56,0.01
10.1017/s0003055412000299,1,political science,2012,crime victimization status (recent victim versus non-victim),political participation (engagement in civic and political activities),"Survey data from five continents are analyzed. Units are stratified by reported crime victimization status. Political participation metrics (voting, organizational membership, protest, etc.) are compared between victims and non-victims. Within-victim subgroups, secondary outcomes (satisfaction with democracy, support for authoritarianism) are examined. Effect sizes are compared to education years. Heterogeneity across crime types and continents is documented.",observational or correlational,observational,main-effect,few-confirmatory,clearly-operationalized,controls-and-power-reported,none,37562.0,,1.420374e-06
10.1017/s0007123411000421,1,political science,2011,prevalence of emancipative values at individual and ecological (community/country) level,non-violent protest participation or likelihood,"Units nested within communities are surveyed for emancipative values and protest participation. Analyses decompose effects into individual-level (own values) and ecological-level (prevalence in context) components. Individual-level associations between values and protest are estimated. Ecological effects are tested: whether prevalence lifts participation above individual level (elevator), and whether prevalence amplifies individual-value effects (amplifier). Cross-level interactions are examined.",observational or correlational,observational,interaction,few-confirmatory,clearly-operationalized,standard,none,73175.0,0.83,0.01
10.1017/s0007123421000557,0,Social Psychology,2021,exposure to information about police killing (random timing of survey administration relative to news event of police killing of Black American),"attitudes toward metropolitan police; trust, legitimacy, or satisfaction measures","Public attitude survey is administered to units (Black British, white British, South Asian British) with questionnaire completion dates randomly distributed. Some units complete surveys shortly after police killing event; others complete before. Within-race comparison examines whether survey timing relative to event predicts attitude differences. Separate analyses by race test whether effect concentrates on Black respondents. Attitudinal measures between early and late completers are compared.",observational or correlational,observational,interaction,single-hypothesis,clearly-operationalized,standard,none,47.0,-3.16,0.01
10.1017/s0033291713000202,0,health,2013,"substance use status (cigarette smoking status, cannabis use status, both, neither)",frequency and distress from psychotic-like experiences,"Units complete an internet survey reporting demographics, substance use, parental psychiatric history, and psychotic-like experiences (CAPE scale). Associations between substance use and experiences are estimated. Multiple regression models sequentially add controls. Cannabis-only, smoking-only, and joint associations are tested. A model excluding smoking is compared to a fully adjusted model including smoking to assess confounding. Relative effect sizes for cannabis and smoking are compared.",observational or correlational,observational,simple-association,few-confirmatory,clearly-operationalized,standard,none,1929.0,0.107,4.407851e-11
10.1017/s0043887112000032,1,political science,2012,perceived threat from immigration to national community (naturally occurring variation in concern); country-level immigration history (postwar mass immigration versus not),trust in national politicians and political institutions,European Social Survey data (2002-2009) spanning multiple countries are analyzed. Units report immigration concern and trust in political system. Country-level immigration history is coded. Association between immigration concern and trust is estimated in pooled models. Country-level immigration history is tested as a moderator. Presence and influence of far-right parties is assessed as potential mechanism. Heterogeneity in effects across countries is explored.,observational or correlational,observational,interaction,few-confirmatory,clearly-operationalized,standard,none,110732.0,0.115,0.0
10.1017/s1366728914000273,1,Linguistics,2014,language-switching practice (multilingual vs monolingual experience),attentional flexibility during task switching (local and global switch costs),Units performed a nonverbal task-switching paradigm in which they viewed colored animal pictures and responded to a cue by indicating either the animal or its color. The study compared local switch costs (performance change when switching between two tasks within a mixed block) and global switch costs (performance change from a pure-task to mixed-task block) between bilinguals and monolinguals. Performance was measured via reaction time and accuracy. Statistical comparison of group means via ANOVA or t-tests was conducted.,between-subjects,observational,main-effect,single-hypothesis,clearly-operationalized,standard,none,68.0,0.45,0.001
10.1017/s1930297500001170,1,Social Psychology,2009,perceived rarity of an event (rare vs common event presentation),estimated length of the sequence from which an event was drawn (retrospective gambler's fallacy),"Units judged the length of a sequence from which a presented event was drawn. In Study 1, streaks were presented; in Study 2, single events with manipulated rarity (rare vs common) were presented; in Study 3, events from real-world domains were used. Units estimated how long the sequence was that produced the observed outcome. The main comparison was between rare-appearing and common-appearing events on sequence-length judgments. Analysis compared mean judgments across conditions.",between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,80.0,0.69,0.05
10.1017/s1930297500005064,0,Psychology,2013,salience of post-decision regret and external accountability demands,choice distortion by a decoy option (decoy effect magnitude),"In Experiment 1 (N=62) and Experiment 2 (N=242), units made choices in preference or prediction tasks involving a target option and a decoy option that was inferior to the target but similar to it. The manipulation made salient either the possibility of post-decision regret or external accountability demands (or control). The outcome was the proportion of units choosing the decoy. Between-condition comparisons of decoy-choice rates were conducted via chi-square or logistic regression.",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,controls-and-power-reported,none,42.5,,0.1
10.1017/xps.2014.22,0,political science,2015,type of corrective information provided (denial only vs causal explanation),belief in misinformation after debunking (continued influence effect magnitude),"Units read a scenario containing misinformation about a political event or outcome, then received either a denial of the false claim or a denial plus a causal explanation for the event. Subsequently, units rated their belief in the misinformation and provided open-ended explanations. The primary outcome was the extent to which units continued to endorse the false information despite correction. Between-condition comparisons of misinformation belief and causal reasoning were conducted.",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,764.0,0.0337778,5.000186e-07
10.1017/xps.2017.21,0,political science,2017,activation of gender stereotypes about a domain (stereotyped domain vs neutral),performance on a domain-related knowledge test (accuracy),"Units completed a domain knowledge test either in a condition where gender stereotypes about the domain were made salient or in a control condition. A subset of units participated in an online survey examining stereotype awareness; another subset participated in an experimental condition where stereotype activation was manipulated. Performance was measured via test score. The analysis compared test accuracy across stereotype-salient and control conditions, with separate analyses for men and women.",between-subjects,randomized-experiment,main-effect,few-confirmatory,partially-specified,controls-and-power-reported,none,368.0,0.03,0.003
10.1027/1864-9335/a000147,0,Social Psychology,2013,thinking about personality traits related to communion (vs control or agency traits),perceived ambient temperature (self-reported warmth rating),"Units engaged in a task requiring them to think about personality traits that were either communion-focused (sociability or morality) or agency-focused or neutral. Subsequently, units rated their experience of room temperature (perceptual warmth). The main comparison was between communion-activation and control/agency conditions on temperature perception ratings. Between-condition means were compared via ANOVA.",between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,80.0,0.86,0.001
10.1037/0021-843x.115.4.798,1,Social Psychology,2006,diagnosis status (ASPD with psychopathy vs ASPD without psychopathy vs control; N=472 incarcerated men),severity of criminal behavior and emotion-processing impairment,"Units (incarcerated men) were classified into three groups based on diagnostic criteria: ASPD with psychopathy, ASPD without psychopathy, and neither diagnosis (controls). The study examined the frequency and severity of criminal offenses (measured via official records) and emotion-facilitation ability (measured via emotional priming task). Group comparisons on criminal activity and emotion processing were conducted via ANOVA or chi-square tests to examine whether comorbid psychopathy uniquely predicted more severe crime and weaker emotion responses.",between-subjects,observational,main-effect,few-confirmatory,clearly-operationalized,standard,none,278.0,0.68,0.001
10.1037/0021-9010.77.4.419,0,Judgment and Decision Making,1992,type of deescalation intervention (reduce threat salience vs set minimum targets vs evaluate on process vs control),willingness to disengage from a losing course of action (investment decisions in a losing project),"Units made successive investment decisions regarding a project showing losses. The study compared the effectiveness of three deescalation strategies: (a) manipulating how threatening negative outcomes seemed, (b) establishing minimum acceptable targets that, if not met, would trigger disengagement, and (c) evaluating units on their decision process rather than outcome. The outcome was the point at which units withdrew investment or stopped allocating resources. Between-condition comparisons of investment levels and withdrawal timing were analyzed.",between-subjects,randomized-experiment,main-effect,single-hypothesis,partially-specified,minimal,none,60.0,0.598,0.05
10.1037/0021-9010.85.5.751,1,Differential Psychology,2000,"individual differences in Big Five personality traits (Neuroticism, Extraversion, Openness, Agreeableness, Conscientiousness; across 14 samples, 200+ organizations)",transformational leadership behavior (ratings or behavioral indicators),"Across 14 samples of leaders, personality was measured via Big Five inventories (NEO Five-Factor Inventory or Revised NEO). Leadership behavior was rated by subordinates or assessed via observer ratings. Associations between each trait and transformational leadership were estimated via correlation and multiple regression to examine unique and shared effects. Outcome leadership effectiveness was measured separately and regressed on both transformational and transactional leadership dimensions.",observational or correlational,observational,main-effect,few-confirmatory,clearly-operationalized,standard,none,169.0,0.245,0.01
10.1037/0022-3514.67.3.357,1,Psychology,1994,temporal distance of regret (short-term vs long-term regret of actions vs inactions),magnitude and nature of regret (intensity or duration ratings in scenario tasks and recall),"Units reported their biggest regrets via telephone surveys, written questionnaires, and face-to-face interviews. Separately, in scenario experiments, units predicted the intensity of short-term and long-term regret for hypothetical actions versus inactions. A third set of units recalled their own regrets of action and inaction from two time periods. The analysis examined whether regret for actions was greater in the short term and regret for inactions was greater in the long term, via comparison of regret ratings across time windows and action-status conditions.",mixed,observational,interaction,single-hypothesis,clearly-operationalized,standard,none,70.0,,0.0055
